_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,antecedent,antecedent:confidence,orig_antecedent,antecedent_gold,option1,option2,option3,option4,option5
831005673,FALSE,finalized,5,11/20/15 20:20,kick a field goal,0.8092,It is first down and 10. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005674,FALSE,finalized,5,11/18/15 21:59,kick a field goal,1,It is second down and inches. The ball is on your opponent's 5 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005675,FALSE,finalized,5,11/20/15 22:43,kick a field goal,0.6211,It is second down and inches. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005676,FALSE,finalized,5,11/19/15 7:41,kick a field goal,0.8073,It is second down and inches. The ball is on your opponent's 5 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005677,FALSE,finalized,5,11/21/15 8:01,kick a field goal,1,It is second down and inches. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005678,FALSE,finalized,5,11/21/15 18:25,pass,1,It is second down and inches. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005679,FALSE,finalized,5,11/20/15 20:31,pass,1,It is second down and inches. The ball is on your 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005680,FALSE,finalized,5,11/20/15 19:10,kick a field goal,0.7953,It is second down and 3. The ball is on your opponent's 5 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005681,FALSE,finalized,5,11/20/15 18:20,kick a field goal,1,It is second down and 3. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005682,FALSE,finalized,5,11/20/15 9:58,pass,0.5874,It is second down and 3. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005683,FALSE,finalized,5,11/20/15 15:49,pass,0.8258,It is second down and 3. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005684,FALSE,finalized,5,11/19/15 15:23,kick a field goal,1,It is second down and 8. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005685,FALSE,finalized,5,11/20/15 13:52,pass,1,It is second down and 8. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005686,FALSE,finalized,5,11/20/15 11:36,kneel down,0.8248,It is third down and inches. The ball is on your opponent's 40 yardline. There is 3 seconds left in the fourth quarter. You are up by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005687,FALSE,finalized,5,11/20/15 19:51,kneel down,1,It is third down and inches. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are up by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005688,FALSE,finalized,5,11/20/15 20:13,kneel down,0.6008,It is third down and inches. The ball is on your opponent's 40 yardline. There is 3 seconds left in the fourth quarter. You are up by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005689,FALSE,finalized,5,11/18/15 22:12,kneel down,0.8108,It is third down and inches. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are up by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005690,FALSE,finalized,5,11/18/15 21:56,kick a field goal,1,It is fourth down and inches. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005691,FALSE,finalized,5,11/21/15 4:29,run,0.4078,It is first down and 10. Would you:,, punt, kick a field goal, run, pass, kneel down
831005692,FALSE,finalized,5,11/18/15 21:16,Don't know / it depends,0.8205, You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005693,FALSE,finalized,5,11/21/15 14:22,pass,0.8092,It is first down and 10. The ball is on your opponent's 20 yardline. It is the first quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005694,FALSE,finalized,5,11/19/15 16:12,pass,0.6314,It is first down and 10. The ball is on your opponent's 40 yardline. It is the first quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005695,FALSE,finalized,5,11/20/15 16:36,pass,0.5725,It is first down and 10. The ball is on your 45 yardline. It is the first quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005696,FALSE,finalized,5,11/20/15 19:04,pass,0.8161,It is first down and 10. The ball is on your 20 yardline. It is the first quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005697,FALSE,finalized,5,11/19/15 17:44,kick a field goal,0.5694,It is first down and 10. The ball is on your opponent's 40 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005698,FALSE,finalized,5,11/19/15 17:05,pass,0.8155,It is first down and 10. The ball is on your 45 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005699,FALSE,finalized,5,11/19/15 2:55,pass,0.3762,It is first down and 10. The ball is on your 20 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005700,FALSE,finalized,5,11/18/15 20:40,run,0.6208,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005701,FALSE,finalized,5,11/19/15 15:25,Don't know / it depends,0.7896,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005702,FALSE,finalized,5,11/18/15 21:10,pass,1,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005703,FALSE,finalized,5,11/20/15 15:57,pass,0.7818,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005704,FALSE,finalized,5,11/20/15 13:10,pass,0.5973,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005705,FALSE,finalized,5,11/20/15 22:59,pass,0.561,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005706,FALSE,finalized,5,11/20/15 18:20,pass,1,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005707,FALSE,finalized,5,11/19/15 10:54,pass,0.7881,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005708,FALSE,finalized,5,11/21/15 11:57,pass,0.5818,It is first down and 10. The ball is on your opponent's 20 yardline. There is 7 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005709,FALSE,finalized,5,11/20/15 12:05,pass,1,It is first down and 10. The ball is on your opponent's 40 yardline. There is 7 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005710,FALSE,finalized,5,11/21/15 12:42,pass,0.4219,It is first down and 10. The ball is on your 45 yardline. There is 7 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005711,FALSE,finalized,5,11/18/15 23:39,pass,0.598,It is first down and 10. The ball is on your 20 yardline. There is 7 minutes left in the third quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005712,FALSE,finalized,5,11/20/15 20:00,kick a field goal,1,It is first down and 10. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005713,FALSE,finalized,5,11/20/15 21:31,pass,0.6238,It is first down and 10. The ball is on your opponent's 40 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005714,FALSE,finalized,5,11/21/15 16:34,pass,0.8247,It is first down and 10. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005715,FALSE,finalized,5,11/20/15 16:01,pass,0.8031,It is first down and 10. The ball is on your 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005716,FALSE,finalized,5,11/19/15 19:16,run,0.6075,It is first down and 10. The ball is on your opponent's 20 yardline. There is 2 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005717,FALSE,finalized,5,11/18/15 21:52,pass,0.5825,It is first down and 10. The ball is on your opponent's 40 yardline. There is 2 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005718,FALSE,finalized,5,11/19/15 18:04,pass,1,It is first down and 10. The ball is on your 45 yardline. There is 2 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005719,FALSE,finalized,5,11/21/15 3:46,pass,0.6038,It is first down and 10. The ball is on your 20 yardline. There is 2 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005720,FALSE,finalized,5,11/21/15 0:43,run,0.8214,It is first down and 10. The ball is on your opponent's 20 yardline. There is 7 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005721,FALSE,finalized,5,11/21/15 4:41,run,0.402,It is first down and 10. The ball is on your opponent's 40 yardline. There is 7 minutes left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
