"","Date","GameID","Drive","qtr","down","time","TimeUnder","TimeSecs","PlayTimeDiff","SideofField","yrdln","yrdline100","ydstogo","ydsnet","GoalToGo","FirstDown","posteam","DefensiveTeam","desc","PlayAttempted","Yards.Gained","sp","Touchdown","ExPointResult","TwoPointConv","DefTwoPoint","Safety","Onsidekick","PuntResult","PlayType","Passer","Passer_ID","PassAttempt","PassOutcome","PassLength","AirYards","YardsAfterCatch","QBHit","PassLocation","InterceptionThrown","Interceptor","Rusher","Rusher_ID","RushAttempt","RunLocation","RunGap","Receiver","Receiver_ID","Reception","ReturnResult","Returner","BlockingPlayer","Tackler1","Tackler2","FieldGoalResult","FieldGoalDistance","Fumble","RecFumbTeam","RecFumbPlayer","Sack","Challenge.Replay","ChalReplayResult","Accepted.Penalty","PenalizedTeam","PenaltyType","PenalizedPlayer","Penalty.Yards","PosTeamScore","DefTeamScore","ScoreDiff","AbsScoreDiff","HomeTeam","AwayTeam","Timeout_Indicator","Timeout_Team","posteam_timeouts_pre","HomeTimeouts_Remaining_Pre","AwayTimeouts_Remaining_Pre","HomeTimeouts_Remaining_Post","AwayTimeouts_Remaining_Post","No_Score_Prob","Opp_Field_Goal_Prob","Opp_Safety_Prob","Opp_Touchdown_Prob","Field_Goal_Prob","Safety_Prob","Touchdown_Prob","ExPoint_Prob","TwoPoint_Prob","ExpPts","EPA","airEPA","yacEPA","Home_WP_pre","Away_WP_pre","Home_WP_post","Away_WP_post","Win_Prob","WPA"
"1",2014-02-02,"2014020200",1,1,NA,"15:00",15,3600,0,"SEA",35,35,0,0,0,NA,"DEN","SEA","S.Hauschka kicks 71 yards from SEA 35 to DEN -6. T.Holliday to DEN 14 for 20 yards (D.Coleman, J.Lane).",1,20,0,0,NA,NA,NA,0,0,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,"T.Holliday",NA,"D.Coleman","J.Lane",NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,"DEN","SEA",0,"None",3,3,3,3,3,0.00113458114017243,0.180621394958124,0.00623101227344075,0.293309278407024,0.200382438005826,0.00400483174310272,0.314316463472311,0,0,0.201881063539439,-0.599666730790094,NA,NA,0.485416409849407,0.514583590150593,0.467842092960852,0.532157907039148,0.485416409849407,-0.0175743168885553
"2",2014-02-02,"2014020200",1,1,"1","14:53",15,3593,7,"DEN",14,86,10,-14,0,0,"DEN","SEA","(14:53) (Shotgun) P.Manning Aborted. M.Ramirez FUMBLES at DEN 14, recovered by DEN-K.Moreno at DEN -8. K.Moreno tackled in End Zone, SAFETY (C.Avril). Penalty on DEN-P.Manning, Illegal Motion, declined.",1,0,1,0,NA,NA,NA,1,0,NA,"Run",NA,"None",0,NA,NA,0,0,0,NA,0,NA,"P.Manning","00-0010346",1,NA,"tackle",NA,"None",0,NA,NA,NA,NA,NA,NA,NA,1,"DEN","K.Moreno",0,0,NA,0,NA,NA,NA,0,0,0,0,0,"DEN","SEA",0,"None",3,3,3,3,3,0.00128718514705131,0.200591286100779,0.00985541942753423,0.326164121617847,0.177143392426876,0.00385849260166646,0.281100102678246,0,0,-0.397785667250655,NA,NA,NA,0.467842092960852,0.532157907039148,0.453594042356697,0.546405957643303,0.467842092960852,-0.0142480506041545
"3",2014-02-02,"2014020200",2,1,NA,"14:48",15,3588,5,"DEN",20,20,0,0,0,NA,"SEA","DEN","B.Colquitt kicks 64 yards from DEN 20 to SEA 16. G.Tate to SEA 36 for 20 yards (B.Marshall, N.Irving).",1,20,0,0,NA,NA,NA,0,0,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,"G.Tate",NA,"B.Marshall","N.Irving",NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,2,0,2,2,"DEN","SEA",0,"None",3,3,3,3,3,0.00119448439736298,0.18053396637991,0.00623518649013736,0.292788564176848,0.200704673257317,0.00399560586466549,0.314547519433759,0,0,0.208345646179657,1.54312750584952,NA,NA,0.453594042356697,0.546405957643303,0.405255192542433,0.594744807457567,0.546405957643303,0.0483388498142643
"4",2014-02-02,"2014020200",2,1,"1","14:43",15,3583,5,"SEA",36,64,10,51,0,0,"SEA","DEN","(14:43) M.Lynch up the middle to SEA 39 for 3 yards (S.Williams, D.Trevathan).",1,3,0,0,NA,NA,NA,0,0,NA,"Run",NA,"None",0,NA,NA,0,0,0,NA,0,NA,"M.Lynch","00-0025399",1,"middle",NA,NA,"None",0,NA,NA,NA,"S.Williams","D.Trevathan",NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,2,0,2,2,"DEN","SEA",0,"None",3,3,3,3,3,0.000882102173186808,0.127783527515671,0.0017418695312802,0.205760219301124,0.261922709655538,0.00410122459647921,0.397808347226721,0,0,1.75147315202918,-0.195367602612235,NA,NA,0.405255192542433,0.594744807457567,0.40972441591149,0.59027558408851,0.594744807457567,-0.00446922336905697
"5",2014-02-02,"2014020200",2,1,"2","14:08",15,3548,35,"SEA",39,61,7,51,0,1,"SEA","DEN","(14:08) P.Harvin left end pushed ob at DEN 31 for 30 yards (D.Ihenacho). End around.",1,30,0,0,NA,NA,NA,0,0,NA,"Run",NA,"None",0,NA,NA,0,0,0,NA,0,NA,"P.Harvin","00-0026998",1,"left","end",NA,"None",0,NA,NA,NA,"D.Ihenacho",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,2,0,2,2,"DEN","SEA",0,"None",3,3,3,3,3,0.00100372677791927,0.133530066870981,0.00190172322413186,0.214713361677126,0.264161061759787,0.00436417497834077,0.380325884711714,0,0,1.55610554941695,2.42978808198809,NA,NA,0.40972441591149,0.59027558408851,0.329268474551132,0.670731525448868,0.59027558408851,0.0804559413603576
"6",2014-02-02,"2014020200",2,1,"1","13:44",14,3524,24,"DEN",31,31,10,28,0,1,"SEA","DEN","(13:44) (Shotgun) PENALTY on SEA-R.Okung, False Start, 5 yards, enforced at DEN 31 - No Play.",1,0,0,0,NA,NA,NA,0,0,NA,"No Play",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,1,"SEA","False Start","R.Okung",5,2,0,2,2,"DEN","SEA",0,"None",3,3,3,3,3,0.000441491349835061,0.0492639050830082,0.000113046317673218,0.076724132731235,0.356761573869197,0.00323506154857886,0.513460789100473,0,0,3.98589363140504,NA,NA,NA,0.329268474551132,0.670731525448868,NA,NA,0.670731525448868,NA
"7",2014-02-02,"2014020200",2,1,"1","13:22",14,3502,22,"DEN",36,36,15,28,0,0,"SEA","DEN","(13:22) R.Wilson pass incomplete short right to Z.Miller.",1,0,0,0,NA,NA,NA,0,0,NA,"Pass","R.Wilson","00-0029263",1,"Incomplete Pass","Short",1,0,0,"right",0,NA,NA,"None",0,NA,NA,"Z.Miller","00-0025425",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,2,0,2,2,"DEN","SEA",0,"None",3,3,3,3,3,0.000563277356376189,0.0598939917961647,4.43494410037706e-05,0.0973251166899767,0.377181197287974,0.00400895456956559,0.460983112858939,0,0,3.50539679991529,-0.694698635109857,-0.567440166119074,-0.127258468990783,0.34425808998865,0.65574191001135,0.366801955227826,0.633198044772174,0.65574191001135,-0.022543865239176
"8",2014-02-02,"2014020200",2,1,"2","13:14",14,3494,8,"DEN",36,36,15,34,0,0,"SEA","DEN","(13:14) (Shotgun) R.Wilson pass short left to J.Kearse to DEN 30 for 6 yards (D.Ihenacho).",1,6,0,0,NA,NA,NA,0,0,NA,"Pass","R.Wilson","00-0029263",1,"Complete","Short",6,0,0,"left",0,NA,NA,"None",0,NA,NA,"J.Kearse","00-0029159",1,NA,NA,NA,"D.Ihenacho",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,2,0,2,2,"DEN","SEA",0,"None",3,3,3,3,3,0.000719128328917456,0.0759205044344225,0.000194244587466616,0.12131873656911,0.425665692363933,0.00443792196749073,0.37174377174866,0,0,2.81069816480543,-0.00122292295958193,-0.00122292295958193,0,0.366801955227826,0.633198044772174,0.365235932789352,0.634764067210648,0.633198044772174,0.00156602243847459
"9",2014-02-02,"2014020200",2,1,"3","12:34",13,3454,40,"DEN",30,30,9,46,0,1,"SEA","DEN","(12:34) (Shotgun) R.Wilson pass short middle to J.Kearse to DEN 18 for 12 yards (M.Adams).",1,12,0,0,NA,NA,NA,0,0,NA,"Pass","R.Wilson","00-0029263",1,"Complete","Short",9,3,0,"middle",0,NA,NA,"None",0,NA,NA,"J.Kearse","00-0029159",1,NA,NA,NA,"M.Adams",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,2,0,2,2,"DEN","SEA",0,"None",3,3,3,3,3,0.000730073835862528,0.0695392155355299,0.00029290880803973,0.112253369387091,0.473180579403394,0.00462328352852184,0.339380569501561,0,0,2.80947524184585,1.68309007779831,1.57998551727504,0.103104560523268,0.365235932789352,0.634764067210648,0.308554603009986,0.691445396990014,0.634764067210648,0.0566813297793655
"10",2014-02-02,"2014020200",2,1,"1","12:01",13,3421,33,"DEN",18,18,10,45,0,0,"SEA","DEN","(12:01) M.Lynch left tackle to DEN 19 for -1 yards (T.Knighton, J.Mincey).",1,-1,0,0,NA,NA,NA,0,0,NA,"Run",NA,"None",0,NA,NA,0,0,0,NA,0,NA,"M.Lynch","00-0025399",1,"left","tackle",NA,"None",0,NA,NA,NA,"T.Knighton","J.Mincey",NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,2,0,2,2,"DEN","SEA",0,"None",3,3,3,3,3,0.000421853140812255,0.0316546034790425,4.34439662853675e-05,0.0473621333939574,0.377911942691766,0.00256540792013948,0.540040615407997,0,0,4.49256531964416,-0.645644294239504,NA,NA,0.308554603009986,0.691445396990014,0.328784049612442,0.671215950387558,0.691445396990014,-0.0202294466024555
