,did,dre,gid
0,1,Punt,2009091000
1,2,Punt,2009091000
2,3,Punt,2009091000
3,4,Missed FG,2009091000
4,5,Punt,2009091000
5,6,Interception,2009091000
6,7,Interception,2009091000
7,8,Punt,2009091000
8,9,Punt,2009091000
9,10,Missed FG,2009091000
10,11,Touchdown,2009091000
11,12,Touchdown,2009091000
12,13,Interception,2009091000
13,14,Fumble,2009091000
14,15,Punt,2009091000
15,16,Punt,2009091000
16,17,Punt,2009091000
17,18,Punt,2009091000
18,19,Punt,2009091000
19,20,Field Goal,2009091000
20,21,Field Goal,2009091000
21,22,Punt,2009091000
22,23,Fumble,2009091000
23,24,End of Half,2009091000
24,25,Field Goal,2009091000
25,1,Missed FG,2009091300
26,2,Fumble,2009091300
27,3,Punt,2009091300
28,4,Punt,2009091300
29,5,Touchdown,2009091300
30,6,Punt,2009091300
31,7,Punt,2009091300
32,8,Fumble,2009091300
33,9,Field Goal,2009091300
34,10,End of Half,2009091300
35,11,Punt,2009091300
36,12,Punt,2009091300
37,13,Punt,2009091300
38,14,Punt,2009091300
39,15,Interception,2009091300
40,16,Touchdown,2009091300
41,17,Fumble,2009091300
42,18,Missed FG,2009091300
43,19,Punt,2009091300
44,20,Field Goal,2009091300
45,21,Touchdown,2009091300
46,22,End of Game,2009091300
47,1,Punt,2009091301
48,2,Field Goal,2009091301
49,3,Punt,2009091301
50,4,Touchdown,2009091301
51,5,Punt,2009091301
52,6,Punt,2009091301
53,7,Punt,2009091301
54,8,Blocked Punt,2009091301
55,9,Missed FG,2009091301
56,10,End of Half,2009091301
57,11,Interception,2009091301
58,12,Touchdown,2009091301
59,13,Touchdown,2009091301
60,14,Punt,2009091301
61,15,Punt,2009091301
62,16,Field Goal,2009091301
63,17,Touchdown,2009091301
64,18,Touchdown,2009091301
65,19,Touchdown,2009091301
66,20,Downs,2009091301
67,21,Touchdown,2009091301
68,22,End of Game,2009091301
69,1,Touchdown,2009091302
70,2,Punt,2009091302
71,3,Interception,2009091302
72,4,Field Goal,2009091302
73,5,Fumble,2009091302
74,6,Punt,2009091302
75,7,Interception,2009091302
76,8,Touchdown,2009091302
77,9,Punt,2009091302
78,10,Touchdown,2009091302
79,11,Field Goal,2009091302
80,12,Punt,2009091302
81,13,End of Half,2009091302
82,14,Interception,2009091302
83,15,Interception,2009091302
84,16,Touchdown,2009091302
85,17,Interception,2009091302
86,18,Punt,2009091302
87,19,Punt,2009091302
88,20,Fumble,2009091302
89,21,Punt,2009091302
90,22,Punt,2009091302
91,23,Interception,2009091302
92,24,Missed FG,2009091302
93,25,Fumble,2009091302
94,26,Downs,2009091302
95,27,Downs,2009091302
96,28,End of Game,2009091302
97,1,Punt,2009091303
98,2,Punt,2009091303
99,3,Punt,2009091303
100,4,Downs,2009091303
101,5,Punt,2009091303
102,6,Punt,2009091303
103,7,Punt,2009091303
104,8,Interception,2009091303
105,9,Punt,2009091303
106,10,Punt,2009091303
107,11,Field Goal,2009091303
108,12,Punt,2009091303
109,13,Punt,2009091303
110,14,Punt,2009091303
111,15,Punt,2009091303
112,16,Punt,2009091303
113,17,Field Goal,2009091303
114,18,Punt,2009091303
115,19,Punt,2009091303
116,20,Touchdown,2009091303
117,21,Touchdown,2009091303
118,22,Interception,2009091303
119,1,Field Goal,2009091304
120,2,Punt,2009091304
121,3,Punt,2009091304
122,4,Field Goal,2009091304
123,5,Punt,2009091304
124,6,Touchdown,2009091304
125,7,Field Goal,2009091304
126,8,Punt,2009091304
127,9,Punt,2009091304
128,10,Punt,2009091304
129,11,Punt,2009091304
130,12,End of Half,2009091304
131,13,Touchdown,2009091304
132,14,Interception,2009091304
133,15,Touchdown,2009091304
134,16,Punt,2009091304
135,17,Punt,2009091304
136,18,Fumble,2009091304
137,19,Field Goal,2009091304
138,20,Punt,2009091304
139,21,Touchdown,2009091304
140,22,Downs,2009091304
141,23,Punt,2009091304
142,24,Touchdown,2009091304
143,25,End of Game,2009091304
144,1,Punt,2009091305
145,2,Punt,2009091305
146,3,Punt,2009091305
147,4,Field Goal,2009091305
148,5,Punt,2009091305
149,6,Punt,2009091305
150,7,Fumble,2009091305
151,8,Touchdown,2009091305
152,9,Punt,2009091305
153,10,End of Half,2009091305
154,11,Touchdown,2009091305
155,12,Punt,2009091305
156,13,Punt,2009091305
157,14,Downs,2009091305
158,15,Punt,2009091305
159,16,Punt,2009091305
160,17,Interception,2009091305
161,18,Touchdown,2009091305
162,19,Interception,2009091305
163,20,End of Game,2009091305
164,1,Interception,2009091306
165,2,Punt,2009091306
166,3,Fumble,2009091306
167,4,Field Goal,2009091306
168,5,Touchdown,2009091306
169,6,Field Goal,2009091306
170,7,Downs,2009091306
171,8,Missed FG,2009091306
172,9,Punt,2009091306
173,10,Touchdown,2009091306
174,11,Punt,2009091306
175,12,Punt,2009091306
176,13,Punt,2009091306
177,14,Missed FG,2009091306
178,15,Touchdown,2009091306
179,16,Punt,2009091306
180,17,Punt,2009091306
181,18,Downs,2009091306
182,19,Downs,2009091306
183,20,End of Game,2009091306
184,1,Touchdown,2009091307
185,2,Punt,2009091307
186,3,Touchdown,2009091307
187,4,Field Goal,2009091307
188,5,Punt,2009091307
